Month_Period,Apparels & Footwear,Daily Essentials,Dining,Education,Entertainment,Medicines,Others
2016-07,0.650887573964497,99.3491124260355,0.0,0.0,0.0,0.0,0.0
2016-08,0.4569055036344756,41.34994807892004,0.0,0.0,0.0,58.19314641744548,0.0
2016-09,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2016-10,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2016-11,98.10834049871023,0.0,1.8916595012897677,0.0,0.0,0.0,0.0
2016-12,15.978499877840216,44.63718543855363,14.170535059858294,0.0,0.537503053994625,22.819447837771804,1.8568287319814316
2017-01,0.0,40.1300995823964,24.016222293607452,14.166398972052683,9.677160295534854,11.921779633793768,0.08833922261484099
2017-02,0.0,19.4208458938522,30.222892116561617,0.0,6.9973508723851285,35.66730611126336,7.6916050059377
2017-03,2.717391304347826,45.70545609548167,20.99850809889173,0.0,9.995737425404945,3.2129156010230178,17.36999147485081
2017-04,14.717137242734513,33.0437480608129,30.608129072292893,0.0,14.070741545144275,0.0,7.56024407901541
2017-05,19.875713890356504,60.73665937051853,10.136614084081817,0.0,4.282084182454022,0.0,4.968928472589126
2017-06,14.144917828863957,67.00476042389302,0.0,0.0,5.193407171734086,0.05262780183240437,13.60428677367653
2017-07,27.411079439831454,48.75201388028256,12.658321972983021,4.082290246622878,1.4128144751518155,5.683479985128269,0.0
2017-08,0.061442216388314805,51.563983689884374,42.35882254370776,3.647433391051779,0.0,0.0,2.368318158967771
2017-09,2.0723379141724982,31.555518084478546,21.782311778096282,1.3624483601719921,12.260349043082371,9.484866368771605,21.48216845122671
2017-10,8.675155844443951,46.40060341193957,16.16567207223196,0.0,13.769771723939037,4.363644430640903,10.625152516804578
2017-11,6.6436139764722375,32.201726615343276,23.354867349680493,8.08168128876999,12.590974404504621,5.381946472587937,11.745189892641442
2017-12,7.673597124531343,40.667121122920086,17.42090911907787,2.815821274749791,22.834877451739843,0.8420351377312304,7.745638769249838
2018-01,15.922097329074742,31.083888236598163,8.88310494034961,3.3277774584746247,5.208016881101541,3.8122059560073236,31.762909198393995
2018-02,5.083975559581197,40.20080444594553,17.48042617212687,0.4009948110166109,7.439589793975866,13.464337253216248,15.929871964137677
2018-03,7.243032485229466,39.09898081654035,19.641661196098326,3.5363079963131683,9.678595821148885,6.150245015151817,14.651176669517993
2018-04,8.175248036466233,40.784735696069546,15.568471620900304,0.018639802756996282,13.593499792420378,1.275131961330882,20.584273090055667
2018-05,7.467510337619848,41.90257645294679,14.98727677557141,5.328986231653564,8.034943427091381,8.489344299541054,13.789362475575953
2018-06,3.2716430571929362,45.5541208979709,27.650841769743696,4.172358514692765,6.910683208892382,0.747269472357891,11.693083079149435
2018-07,0.9662906696224817,43.091217317597966,24.31831518549912,2.855186803155767,15.926191562887135,0.7061354893395058,12.136662971898025
2018-08,6.062835657468614,49.02988836039835,14.188136192203189,2.06999635013238,12.783806174649062,2.4054365647214224,13.459900700426978
2018-09,9.511747791865433,33.43652815107721,23.41631134814648,6.077705697761142,4.690204466459339,4.227704056025405,18.639798488664987
2018-10,8.642599317646154,34.70994467549735,18.200497755704138,5.519814083299911,13.434459418625732,5.124246636303202,14.368438112923517
2018-11,7.9793127397803945,46.39585262600873,20.597549279005158,3.9696057679587247,7.586568990607223,5.664191692022754,7.806918904617014
2018-12,14.424721868087564,37.6450590042823,23.368528870146992,2.496376930033888,10.556118538858561,2.666724781072138,8.84247000751855
2019-01,9.95395248094443,36.311816934243815,24.968585175509663,4.837882971511714,7.694978588316992,3.00135579768853,13.231428051784858
2019-02,9.208761096469111,33.81318921799031,22.744312613581222,4.298722181520633,7.918097829706664,6.7401832523001675,15.276733808431889
2019-03,11.28448332953149,40.1573963016652,23.30591100743935,5.803206793280304,6.673706208287037,5.447795789520159,7.327500570276456
2019-04,8.40294207055154,42.13200988620293,20.585572487807458,3.2387888079724028,9.363146138697612,2.557460250327117,13.720080358440939
2019-05,9.659465011544304,43.68574915063779,15.276229270733655,3.6384306771194552,9.65683133027241,4.500961293664241,13.582333266028146
2019-06,10.723877023273634,31.89886026242697,25.369600612968107,7.272483478594004,8.047121923187433,4.494971746001341,12.19308495354851
2019-07,6.489678111965647,41.16611816053924,26.453247918903223,3.9439643793667836,6.838580806392002,6.226571162070361,8.881839460762746
2019-08,7.173293082836324,44.53579466903539,16.053670297671125,2.5893447495141224,13.009169900286519,4.067348342672428,12.571378957984091
2019-09,8.466780026284484,35.53325734501809,20.81270126003575,2.6514939178205057,9.61843900069137,8.13573257095876,14.781595879191038
2019-10,6.016729489285341,31.640445739930183,24.157116679167892,3.795942006969038,11.723934942984913,6.782310922906993,15.883520218755637
